76 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 
31 53 28 35 50 57 32 39 54 61 36 43 58 65 40 47 62 69 44 51 66 73 48 55 70 76 52 59 74 5 56 63 2 9 60 67 6 13 64 71 10 17 68 75 14 21 72 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 19 34 41 16 23 38 45 20 27 42 49 24 46 
32 46 35 36 49 50 39 40 53 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 76 2 67 68 5 6 71 72 9 10 75 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 45 
33 51 30 37 48 55 34 41 52 59 38 45 56 63 42 49 60 67 46 53 64 71 50 57 68 75 54 61 72 3 58 65 1 7 62 69 4 11 66 73 8 15 70 76 12 19 74 5 16 23 2 9 20 27 6 13 24 31 10 17 28 35 14 21 32 39 18 25 36 43 22 29 40 47 26 44 
34 44 37 38 47 48 41 42 51 52 45 46 55 56 49 50 59 60 53 54 63 64 57 58 67 68 61 62 71 72 65 66 75 1 69 70 3 4 73 74 7 8 76 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 28 21 22 31 32 25 26 35 36 29 30 39 40 33 43 
35 49 32 39 46 53 36 43 50 57 40 47 54 61 44 51 58 65 48 55 62 69 52 59 66 73 56 63 70 76 60 67 74 5 64 71 2 9 68 75 6 13 72 3 10 17 1 7 14 21 4 11 18 25 8 15 22 29 12 19 26 33 16 23 30 37 20 27 34 41 24 31 38 45 28 42 
36 42 39 40 45 46 43 44 49 50 47 48 53 54 51 52 57 58 55 56 61 62 59 60 65 66 63 64 69 70 67 68 73 74 71 72 76 2 75 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 24 29 30 27 28 33 34 31 32 37 38 35 41 
37 47 34 41 44 51 38 45 48 55 42 49 52 59 46 53 56 63 50 57 60 67 54 61 64 71 58 65 68 75 62 69 72 3 66 73 1 7 70 76 4 11 74 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 31 18 25 28 35 22 29 32 39 26 33 36 43 30 40 
38 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 1 76 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 
39 45 36 43 42 49 40 47 46 53 44 51 50 57 48 55 54 61 52 59 58 65 56 63 62 69 60 67 66 73 64 71 70 76 68 75 74 5 72 3 2 9 1 7 6 13 4 11 10 17 8 15 14 21 12 19 18 25 16 23 22 29 20 27 26 33 24 31 30 37 28 35 34 41 32 38 
40 38 43 44 41 42 47 48 45 46 51 52 49 50 55 56 53 54 59 60 57 58 63 64 61 62 67 68 65 66 71 72 69 70 75 1 73 74 3 4 76 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 35 36 33 34 39 37 
41 43 38 45 40 47 42 49 44 51 46 53 48 55 50 57 52 59 54 61 56 63 58 65 60 67 62 69 64 71 66 73 68 75 70 76 72 3 74 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 29 24 31 26 33 28 35 30 37 32 39 34 36 
42 36 45 46 39 40 49 50 43 44 53 54 47 48 57 58 51 52 61 62 55 56 65 66 59 60 69 70 63 64 73 74 67 68 76 2 71 72 5 6 75 1 9 10 3 4 13 14 7 8 17 18 11 12 21 22 15 16 25 26 19 20 29 30 23 24 33 34 27 28 37 38 31 32 41 35 
43 41 40 47 38 45 44 51 42 49 48 55 46 53 52 59 50 57 56 63 54 61 60 67 58 65 64 71 62 69 68 75 66 73 72 3 70 76 1 7 74 5 4 11 2 9 8 15 6 13 12 19 10 17 16 23 14 21 20 27 18 25 24 31 22 29 28 35 26 33 32 39 30 37 36 34 
44 34 47 48 37 38 51 52 41 42 55 56 45 46 59 60 49 50 63 64 53 54 67 68 57 58 71 72 61 62 75 1 65 66 3 4 69 70 7 8 73 74 11 12 76 2 15 16 5 6 19 20 9 10 23 24 13 14 27 28 17 18 31 32 21 22 35 36 25 26 39 40 29 30 43 33 
45 39 42 49 36 43 46 53 40 47 50 57 44 51 54 61 48 55 58 65 52 59 62 69 56 63 66 73 60 67 70 76 64 71 74 5 68 75 2 9 72 3 6 13 1 7 10 17 4 11 14 21 8 15 18 25 12 19 22 29 16 23 26 33 20 27 30 37 24 31 34 41 28 35 38 32 
46 32 49 50 35 36 53 54 39 40 57 58 43 44 61 62 47 48 65 66 51 52 69 70 55 56 73 74 59 60 76 2 63 64 5 6 67 68 9 10 71 72 13 14 75 1 17 18 3 4 21 22 7 8 25 26 11 12 29 30 15 16 33 34 19 20 37 38 23 24 41 42 27 28 45 31 
47 37 44 51 34 41 48 55 38 45 52 59 42 49 56 63 46 53 60 67 50 57 64 71 54 61 68 75 58 65 72 3 62 69 1 7 66 73 4 11 70 76 8 15 74 5 12 19 2 9 16 23 6 13 20 27 10 17 24 31 14 21 28 35 18 25 32 39 22 29 36 43 26 33 40 30 
48 30 51 52 33 34 55 56 37 38 59 60 41 42 63 64 45 46 67 68 49 50 71 72 53 54 75 1 57 58 3 4 61 62 7 8 65 66 11 12 69 70 15 16 73 74 19 20 76 2 23 24 5 6 27 28 9 10 31 32 13 14 35 36 17 18 39 40 21 22 43 44 25 26 47 29 
49 35 46 53 32 39 50 57 36 43 54 61 40 47 58 65 44 51 62 69 48 55 66 73 52 59 70 76 56 63 74 5 60 67 2 9 64 71 6 13 68 75 10 17 72 3 14 21 1 7 18 25 4 11 22 29 8 15 26 33 12 19 30 37 16 23 34 41 20 27 38 45 24 31 42 28 
50 28 53 54 31 32 57 58 35 36 61 62 39 40 65 66 43 44 69 70 47 48 73 74 51 52 76 2 55 56 5 6 59 60 9 10 63 64 13 14 67 68 17 18 71 72 21 22 75 1 25 26 3 4 29 30 7 8 33 34 11 12 37 38 15 16 41 42 19 20 45 46 23 24 49 27 
51 33 48 55 30 37 52 59 34 41 56 63 38 45 60 67 42 49 64 71 46 53 68 75 50 57 72 3 54 61 1 7 58 65 4 11 62 69 8 15 66 73 12 19 70 76 16 23 74 5 20 27 2 9 24 31 6 13 28 35 10 17 32 39 14 21 36 43 18 25 40 47 22 29 44 26 
52 26 55 56 29 30 59 60 33 34 63 64 37 38 67 68 41 42 71 72 45 46 75 1 49 50 3 4 53 54 7 8 57 58 11 12 61 62 15 16 65 66 19 20 69 70 23 24 73 74 27 28 76 2 31 32 5 6 35 36 9 10 39 40 13 14 43 44 17 18 47 48 21 22 51 25 
53 31 50 57 28 35 54 61 32 39 58 65 36 43 62 69 40 47 66 73 44 51 70 76 48 55 74 5 52 59 2 9 56 63 6 13 60 67 10 17 64 71 14 21 68 75 18 25 72 3 22 29 1 7 26 33 4 11 30 37 8 15 34 41 12 19 38 45 16 23 42 49 20 27 46 24 
54 24 57 58 27 28 61 62 31 32 65 66 35 36 69 70 39 40 73 74 43 44 76 2 47 48 5 6 51 52 9 10 55 56 13 14 59 60 17 18 63 64 21 22 67 68 25 26 71 72 29 30 75 1 33 34 3 4 37 38 7 8 41 42 11 12 45 46 15 16 49 50 19 20 53 23 
