63 4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
36 42 44 45 48 50 51 52 53 1 55 56 57 58 2 59 3 4 60 61 5 62 6 7 8 9 10 63 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 43 46 47 49 54 
37 25 21 46 31 10 34 29 30 54 15 40 17 18 43 38 39 60 23 24 49 26 27 52 47 48 63 32 33 57 35 36 59 55 56 19 41 42 62 44 45 8 61 5 28 50 51 13 53 1 16 11 12 58 2 22 3 4 20 6 7 9 14 
38 26 46 47 32 34 35 30 54 55 40 41 18 43 44 39 60 61 24 49 50 27 52 53 48 63 11 33 57 58 36 59 3 56 19 20 42 62 6 45 8 9 5 28 29 51 13 14 1 16 17 12 37 2 22 23 4 25 21 7 31 10 15 
39 27 47 48 33 35 36 54 55 56 41 42 43 44 45 60 61 5 49 50 51 52 53 1 63 11 12 57 58 2 59 3 4 19 20 21 62 6 7 8 9 10 28 29 30 13 14 15 16 17 18 37 38 22 23 24 25 26 46 31 32 34 40 
40 46 24 49 34 30 54 32 33 57 18 43 38 39 60 41 42 62 26 27 52 47 48 63 50 51 13 35 36 59 55 56 19 58 2 22 44 45 8 61 5 28 6 7 31 53 1 16 11 12 37 14 15 3 4 25 20 21 23 9 10 29 17 
41 47 49 50 35 54 55 33 57 58 43 44 39 60 61 42 62 6 27 52 53 48 63 11 51 13 14 36 59 3 56 19 20 2 22 23 45 8 9 5 28 29 7 31 32 1 16 17 12 37 38 15 40 4 25 26 21 46 24 10 34 30 18 
42 48 50 51 36 55 56 57 58 2 44 45 60 61 5 62 6 7 52 53 1 63 11 12 13 14 15 59 3 4 19 20 21 22 23 24 8 9 10 28 29 30 31 32 33 16 17 18 37 38 39 40 41 25 26 27 46 47 49 34 35 54 43 
43 49 27 52 54 33 57 35 36 59 39 60 41 42 62 44 45 8 47 48 63 50 51 13 53 1 16 55 56 19 58 2 22 3 4 25 61 5 28 6 7 31 9 10 34 11 12 37 14 15 40 17 18 20 21 46 23 24 26 29 30 32 38 
44 50 52 53 55 57 58 36 59 3 60 61 42 62 6 45 8 9 48 63 11 51 13 14 1 16 17 56 19 20 2 22 23 4 25 26 5 28 29 7 31 32 10 34 35 12 37 38 15 40 41 18 43 21 46 47 24 49 27 30 54 33 39 
45 51 53 1 56 58 2 59 3 4 61 5 62 6 7 8 9 10 63 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 46 47 48 49 50 52 54 55 57 60 
46 34 30 54 40 18 43 38 39 60 24 49 26 27 52 47 48 63 32 33 57 35 36 59 55 56 19 41 42 62 44 45 8 61 5 28 50 51 13 53 1 16 11 12 37 58 2 22 3 4 25 20 21 6 7 31 9 10 29 14 15 17 23 
47 35 54 55 41 43 44 39 60 61 49 50 27 52 53 48 63 11 33 57 58 36 59 3 56 19 20 42 62 6 45 8 9 5 28 29 51 13 14 1 16 17 12 37 38 2 22 23 4 25 26 21 46 7 31 32 10 34 30 15 40 18 24 
