92 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 
28 66 31 32 69 70 35 36 73 74 39 40 77 78 43 44 81 82 47 48 85 86 51 52 89 90 55 56 92 2 59 60 5 6 63 64 9 10 67 68 13 14 71 72 17 18 75 76 21 22 79 80 25 26 83 84 29 30 87 88 33 34 91 1 37 38 3 4 41 42 7 8 45 46 11 12 49 50 15 16 53 54 19 20 57 58 23 24 61 62 27 65 
29 71 26 33 68 75 30 37 72 79 34 41 76 83 38 45 80 87 42 49 84 91 46 53 88 3 50 57 1 7 54 61 4 11 58 65 8 15 62 69 12 19 66 73 16 23 70 77 20 27 74 81 24 31 78 85 28 35 82 89 32 39 86 92 36 43 90 5 40 47 2 9 44 51 6 13 48 55 10 17 52 59 14 21 56 63 18 25 60 67 22 64 
30 64 33 34 67 68 37 38 71 72 41 42 75 76 45 46 79 80 49 50 83 84 53 54 87 88 57 58 91 1 61 62 3 4 65 66 7 8 69 70 11 12 73 74 15 16 77 78 19 20 81 82 23 24 85 86 27 28 89 90 31 32 92 2 35 36 5 6 39 40 9 10 43 44 13 14 47 48 17 18 51 52 21 22 55 56 25 26 59 60 29 63 
31 69 28 35 66 73 32 39 70 77 36 43 74 81 40 47 78 85 44 51 82 89 48 55 86 92 52 59 90 5 56 63 2 9 60 67 6 13 64 71 10 17 68 75 14 21 72 79 18 25 76 83 22 29 80 87 26 33 84 91 30 37 88 3 34 41 1 7 38 45 4 11 42 49 8 15 46 53 12 19 50 57 16 23 54 61 20 27 58 65 24 62 
32 62 35 36 65 66 39 40 69 70 43 44 73 74 47 48 77 78 51 52 81 82 55 56 85 86 59 60 89 90 63 64 92 2 67 68 5 6 71 72 9 10 75 76 13 14 79 80 17 18 83 84 21 22 87 88 25 26 91 1 29 30 3 4 33 34 7 8 37 38 11 12 41 42 15 16 45 46 19 20 49 50 23 24 53 54 27 28 57 58 31 61 
33 67 30 37 64 71 34 41 68 75 38 45 72 79 42 49 76 83 46 53 80 87 50 57 84 91 54 61 88 3 58 65 1 7 62 69 4 11 66 73 8 15 70 77 12 19 74 81 16 23 78 85 20 27 82 89 24 31 86 92 28 35 90 5 32 39 2 9 36 43 6 13 40 47 10 17 44 51 14 21 48 55 18 25 52 59 22 29 56 63 26 60 
34 60 37 38 63 64 41 42 67 68 45 46 71 72 49 50 75 76 53 54 79 80 57 58 83 84 61 62 87 88 65 66 91 1 69 70 3 4 73 74 7 8 77 78 11 12 81 82 15 16 85 86 19 20 89 90 23 24 92 2 27 28 5 6 31 32 9 10 35 36 13 14 39 40 17 18 43 44 21 22 47 48 25 26 51 52 29 30 55 56 33 59 
35 65 32 39 62 69 36 43 66 73 40 47 70 77 44 51 74 81 48 55 78 85 52 59 82 89 56 63 86 92 60 67 90 5 64 71 2 9 68 75 6 13 72 79 10 17 76 83 14 21 80 87 18 25 84 91 22 29 88 3 26 33 1 7 30 37 4 11 34 41 8 15 38 45 12 19 42 49 16 23 46 53 20 27 50 57 24 31 54 61 28 58 
36 58 39 40 61 62 43 44 65 66 47 48 69 70 51 52 73 74 55 56 77 78 59 60 81 82 63 64 85 86 67 68 89 90 71 72 92 2 75 76 5 6 79 80 9 10 83 84 13 14 87 88 17 18 91 1 21 22 3 4 25 26 7 8 29 30 11 12 33 34 15 16 37 38 19 20 41 42 23 24 45 46 27 28 49 50 31 32 53 54 35 57 
37 63 34 41 60 67 38 45 64 71 42 49 68 75 46 53 72 79 50 57 76 83 54 61 80 87 58 65 84 91 62 69 88 3 66 73 1 7 70 77 4 11 74 81 8 15 78 85 12 19 82 89 16 23 86 92 20 27 90 5 24 31 2 9 28 35 6 13 32 39 10 17 36 43 14 21 40 47 18 25 44 51 22 29 48 55 26 33 52 59 30 56 
38 56 41 42 59 60 45 46 63 64 49 50 67 68 53 54 71 72 57 58 75 76 61 62 79 80 65 66 83 84 69 70 87 88 73 74 91 1 77 78 3 4 81 82 7 8 85 86 11 12 89 90 15 16 92 2 19 20 5 6 23 24 9 10 27 28 13 14 31 32 17 18 35 36 21 22 39 40 25 26 43 44 29 30 47 48 33 34 51 52 37 55 
39 61 36 43 58 65 40 47 62 69 44 51 66 73 48 55 70 77 52 59 74 81 56 63 78 85 60 67 82 89 64 71 86 92 68 75 90 5 72 79 2 9 76 83 6 13 80 87 10 17 84 91 14 21 88 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 19 34 41 16 23 38 45 20 27 42 49 24 31 46 53 28 35 50 57 32 54 
40 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 77 78 67 68 81 82 71 72 85 86 75 76 89 90 79 80 92 2 83 84 5 6 87 88 9 10 91 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 45 46 35 36 49 50 39 53 
