84 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 
29 22 41 42 6 34 11 36 53 54 14 15 16 46 21 48 23 10 65 66 25 26 27 28 58 33 60 35 20 3 75 76 37 38 39 40 69 45 71 47 32 9 81 82 49 50 51 52 77 57 79 59 44 19 18 84 61 62 63 64 12 68 83 70 56 31 30 2 72 73 74 5 24 78 67 43 7 8 80 13 4 55 17 1 
30 5 42 18 7 11 12 13 54 29 15 2 17 21 22 23 24 1 66 41 26 6 28 8 33 34 35 36 3 4 76 53 38 14 40 16 45 46 47 48 9 10 82 65 50 25 52 27 57 58 59 60 19 20 84 75 62 37 64 39 68 69 70 71 31 32 81 72 49 74 51 77 78 79 43 44 61 80 63 83 55 56 73 67 
31 37 43 44 45 49 50 51 55 56 57 58 59 61 62 63 64 65 1 67 68 69 70 71 2 72 73 74 75 76 3 4 5 77 78 79 6 7 8 80 81 82 9 10 11 12 13 83 14 15 16 17 18 84 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36 38 39 40 41 42 46 47 48 52 53 54 60 66 
32 38 44 19 46 50 25 52 56 31 58 33 60 62 37 64 39 66 67 43 69 45 71 47 72 49 74 51 76 53 4 55 77 57 79 59 7 61 80 63 82 65 10 1 12 68 83 70 15 2 17 73 84 75 20 3 22 5 24 78 26 6 28 8 30 81 9 34 11 36 13 14 40 16 42 18 21 48 23 27 54 29 35 41 
33 53 45 46 47 65 66 25 57 58 59 60 19 75 76 37 38 39 68 69 70 71 31 32 81 82 49 50 51 52 5 77 78 79 43 44 18 84 61 62 63 64 11 12 13 83 55 56 29 30 2 72 73 74 21 22 23 24 1 67 41 42 6 7 8 80 34 35 36 3 4 54 14 15 16 17 48 9 10 26 27 28 20 40 
34 54 46 21 48 66 41 26 58 33 60 35 20 76 53 38 14 40 69 45 71 47 32 9 82 65 50 25 52 27 77 57 79 59 44 19 84 75 62 37 64 39 12 68 83 70 56 31 30 81 72 49 74 51 22 5 24 78 67 43 42 18 7 61 80 63 11 36 13 4 55 29 15 2 17 73 23 10 1 6 28 8 3 16 
35 27 47 48 9 39 40 41 59 60 19 20 21 51 52 53 54 14 70 71 31 32 33 34 63 64 65 66 25 26 78 79 43 44 45 46 73 74 75 76 37 38 13 83 55 56 57 58 8 80 81 82 49 50 23 24 1 67 68 69 16 17 18 84 61 62 36 3 4 5 77 28 29 30 2 72 10 11 12 42 6 7 22 15 
36 28 48 23 10 40 16 42 60 35 20 3 22 52 27 54 29 15 71 47 32 9 34 11 64 39 66 41 26 6 79 59 44 19 46 21 74 51 76 53 38 14 83 70 56 31 58 33 80 63 82 65 50 25 24 78 67 43 69 45 17 73 84 75 62 37 13 4 55 77 57 8 30 81 72 49 1 12 68 18 7 61 5 2 
37 44 49 50 51 56 31 58 61 62 63 64 65 67 43 69 45 71 2 72 73 74 75 76 4 55 77 57 79 59 6 7 8 80 81 82 10 1 12 68 83 70 14 15 16 17 18 84 20 3 22 5 24 78 25 26 27 28 29 30 32 9 34 11 36 13 38 39 40 41 42 19 46 21 48 23 52 53 54 33 60 35 66 47 
38 19 50 25 52 31 32 33 62 37 64 39 66 43 44 45 46 47 72 49 74 51 76 53 55 56 57 58 59 60 7 61 80 63 82 65 1 67 68 69 70 71 15 2 17 73 84 75 3 4 5 77 78 79 26 6 28 8 30 81 9 10 11 12 13 83 14 40 16 42 18 20 21 22 23 24 27 54 29 34 35 36 41 48 
39 60 51 52 53 71 47 32 63 64 65 66 25 79 59 44 19 46 73 74 75 76 37 38 83 70 56 31 58 33 8 80 81 82 49 50 24 78 67 43 69 45 16 17 18 84 61 62 36 13 4 55 77 57 27 28 29 30 2 72 48 23 10 1 12 68 40 41 42 6 7 35 20 3 22 5 54 14 15 9 34 11 26 21 
40 35 52 27 54 47 48 9 64 39 66 41 26 59 60 19 20 21 74 51 76 53 38 14 70 71 31 32 33 34 80 63 82 65 50 25 78 79 43 44 45 46 17 73 84 75 62 37 13 83 55 56 57 58 28 8 30 81 72 49 23 24 1 67 68 69 16 42 18 7 61 36 3 4 5 77 29 15 2 10 11 12 6 22 
