102 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 
66 56 72 52 62 63 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 46 47 57 37 53 43 
67 70 73 74 76 77 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 68 69 71 72 75 78 
68 78 74 75 84 64 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 69 49 58 59 55 65 
69 65 75 55 71 72 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 49 50 66 46 56 52 
70 67 76 77 73 74 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 71 72 68 69 78 75 
71 75 77 78 81 61 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 72 52 55 56 58 62 
72 62 78 58 68 69 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 52 53 63 43 59 49 
73 76 79 80 82 83 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 74 75 77 78 81 84 
74 84 80 81 90 70 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 75 55 64 65 61 71 
75 71 81 61 77 78 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 55 56 72 52 62 58 
76 73 82 83 79 80 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 77 78 74 75 84 81 
77 81 83 84 87 67 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 78 58 61 62 64 68 
78 68 84 64 74 75 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 58 59 69 49 65 55 
79 82 85 86 88 89 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 83 84 87 90 
80 90 86 87 96 76 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 81 61 70 71 67 77 
81 77 87 67 83 84 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 61 62 78 58 68 64 
82 79 88 89 85 86 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 83 84 80 81 90 87 
83 87 89 90 93 73 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 84 64 67 68 70 74 
84 74 90 70 80 81 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 64 65 75 55 71 61 
85 88 91 92 94 95 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 86 87 89 90 93 96 
86 96 92 93 100 82 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 87 67 76 77 73 83 
87 83 93 73 89 90 98 79 80 95 96 76 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 67 68 84 64 74 70 
88 85 94 95 91 92 2 99 100 1 97 98 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 89 90 86 87 96 93 
89 93 95 96 98 79 99 100 82 101 85 86 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 90 70 73 74 76 80 
90 80 96 76 86 87 100 82 83 92 93 73 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 70 71 81 61 77 67 
91 94 1 97 2 99 3 4 101 5 6 102 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 92 93 95 96 98 100 
92 100 97 98 102 88 4 101 85 12 94 95 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 93 73 82 83 79 89 
93 89 98 79 95 96 101 85 86 99 100 82 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 73 74 90 70 80 76 
94 91 2 99 1 97 5 6 102 3 4 101 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 95 96 92 93 100 98 
95 98 99 100 101 85 6 102 88 9 91 92 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 96 76 79 80 82 86 
96 86 100 82 92 93 102 88 89 97 98 79 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 76 77 87 67 83 73 
97 102 4 101 12 94 8 9 91 18 2 99 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 98 79 88 89 85 95 
98 95 101 85 99 100 9 91 92 6 102 88 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 79 80 96 76 86 82 
99 101 6 102 9 91 11 12 94 15 1 97 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 100 82 85 86 88 92 
100 92 102 88 97 98 12 94 95 4 101 85 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 82 83 93 73 89 79 
101 99 9 91 6 102 15 1 97 11 12 94 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 85 86 100 82 92 88 
102 97 12 94 4 101 18 2 99 8 9 91 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 88 89 98 79 95 85 
