78 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 
59 31 64 65 21 37 54 70 71 26 27 43 60 75 76 32 33 49 66 78 5 38 39 55 72 10 11 44 45 61 2 16 17 50 51 67 6 22 23 56 57 73 12 28 29 62 63 77 18 34 35 68 69 7 24 40 41 74 1 13 30 46 47 3 4 19 36 52 53 8 9 25 42 58 14 15 48 20 
60 15 65 66 20 21 70 71 72 25 26 27 75 76 2 31 32 33 78 5 6 37 38 39 10 11 12 43 44 45 16 17 18 49 50 51 22 23 24 55 56 57 28 29 30 61 62 63 34 35 36 67 68 69 40 41 42 73 74 1 46 47 48 77 3 4 52 53 54 7 8 9 58 59 13 14 64 19 
61 29 51 67 34 35 56 57 73 24 40 41 62 63 77 30 46 47 68 69 7 36 52 53 74 1 13 42 58 59 3 4 19 48 64 65 8 9 25 54 70 71 14 15 31 60 75 76 20 21 37 66 78 5 26 27 43 72 10 11 32 33 49 2 16 17 38 39 55 6 22 23 44 45 12 28 50 18 
62 28 67 68 18 34 57 73 74 23 24 40 63 77 3 29 30 46 69 7 8 35 36 52 1 13 14 41 42 58 4 19 20 47 48 64 9 25 26 53 54 70 15 31 32 59 60 75 21 37 38 65 66 78 27 43 44 71 72 10 33 49 50 76 2 16 39 55 56 5 6 22 45 61 11 12 51 17 
63 12 68 69 17 18 73 74 1 22 23 24 77 3 4 28 29 30 7 8 9 34 35 36 13 14 15 40 41 42 19 20 21 46 47 48 25 26 27 52 53 54 31 32 33 58 59 60 37 38 39 64 65 66 43 44 45 70 71 72 49 50 51 75 76 2 55 56 57 78 5 6 61 62 10 11 67 16 
64 26 54 70 31 32 59 60 75 21 37 38 65 66 78 27 43 44 71 72 10 33 49 50 76 2 16 39 55 56 5 6 22 45 61 62 11 12 28 51 67 68 17 18 34 57 73 74 23 24 40 63 77 3 29 30 46 69 7 8 35 36 52 1 13 14 41 42 58 4 19 20 47 48 9 25 53 15 
65 25 70 71 15 31 60 75 76 20 21 37 66 78 5 26 27 43 72 10 11 32 33 49 2 16 17 38 39 55 6 22 23 44 45 61 12 28 29 50 51 67 18 34 35 56 57 73 24 40 41 62 63 77 30 46 47 68 69 7 36 52 53 74 1 13 42 58 59 3 4 19 48 64 8 9 54 14 
66 9 71 72 14 15 75 76 2 19 20 21 78 5 6 25 26 27 10 11 12 31 32 33 16 17 18 37 38 39 22 23 24 43 44 45 28 29 30 49 50 51 34 35 36 55 56 57 40 41 42 61 62 63 46 47 48 67 68 69 52 53 54 73 74 1 58 59 60 77 3 4 64 65 7 8 70 13 
67 23 57 73 28 29 62 63 77 18 34 35 68 69 7 24 40 41 74 1 13 30 46 47 3 4 19 36 52 53 8 9 25 42 58 59 14 15 31 48 64 65 20 21 37 54 70 71 26 27 43 60 75 76 32 33 49 66 78 5 38 39 55 72 10 11 44 45 61 2 16 17 50 51 6 22 56 12 
68 22 73 74 12 28 63 77 3 17 18 34 69 7 8 23 24 40 1 13 14 29 30 46 4 19 20 35 36 52 9 25 26 41 42 58 15 31 32 47 48 64 21 37 38 53 54 70 27 43 44 59 60 75 33 49 50 65 66 78 39 55 56 71 72 10 45 61 62 76 2 16 51 67 5 6 57 11 
69 6 74 1 11 12 77 3 4 16 17 18 7 8 9 22 23 24 13 14 15 28 29 30 19 20 21 34 35 36 25 26 27 40 41 42 31 32 33 46 47 48 37 38 39 52 53 54 43 44 45 58 59 60 49 50 51 64 65 66 55 56 57 70 71 72 61 62 63 75 76 2 67 68 78 5 73 10 
70 20 60 75 25 26 65 66 78 15 31 32 71 72 10 21 37 38 76 2 16 27 43 44 5 6 22 33 49 50 11 12 28 39 55 56 17 18 34 45 61 62 23 24 40 51 67 68 29 30 46 57 73 74 35 36 52 63 77 3 41 42 58 69 7 8 47 48 64 1 13 14 53 54 4 19 59 9 
71 19 75 76 9 25 66 78 5 14 15 31 72 10 11 20 21 37 2 16 17 26 27 43 6 22 23 32 33 49 12 28 29 38 39 55 18 34 35 44 45 61 24 40 41 50 51 67 30 46 47 56 57 73 36 52 53 62 63 77 42 58 59 68 69 7 48 64 65 74 1 13 54 70 3 4 60 8 
72 4 76 2 8 9 78 5 6 13 14 15 10 11 12 19 20 21 16 17 18 25 26 27 22 23 24 31 32 33 28 29 30 37 38 39 34 35 36 43 44 45 40 41 42 49 50 51 46 47 48 55 56 57 52 53 54 61 62 63 58 59 60 67 68 69 64 65 66 73 74 1 70 71 77 3 75 7 
73 17 63 77 22 23 68 69 7 12 28 29 74 1 13 18 34 35 3 4 19 24 40 41 8 9 25 30 46 47 14 15 31 36 52 53 20 21 37 42 58 59 26 27 43 48 64 65 32 33 49 54 70 71 38 39 55 60 75 76 44 45 61 66 78 5 50 51 67 72 10 11 56 57 2 16 62 6 
74 16 77 3 6 22 69 7 8 11 12 28 1 13 14 17 18 34 4 19 20 23 24 40 9 25 26 29 30 46 15 31 32 35 36 52 21 37 38 41 42 58 27 43 44 47 48 64 33 49 50 53 54 70 39 55 56 59 60 75 45 61 62 65 66 78 51 67 68 71 72 10 57 73 76 2 63 5 
75 14 66 78 19 20 71 72 10 9 25 26 76 2 16 15 31 32 5 6 22 21 37 38 11 12 28 27 43 44 17 18 34 33 49 50 23 24 40 39 55 56 29 30 46 45 61 62 35 36 52 51 67 68 41 42 58 57 73 74 47 48 64 63 77 3 53 54 70 69 7 8 59 60 1 13 65 4 
76 13 78 5 4 19 72 10 11 8 9 25 2 16 17 14 15 31 6 22 23 20 21 37 12 28 29 26 27 43 18 34 35 32 33 49 24 40 41 38 39 55 30 46 47 44 45 61 36 52 53 50 51 67 42 58 59 56 57 73 48 64 65 62 63 77 54 70 71 68 69 7 60 75 74 1 66 3 
77 11 69 7 16 17 74 1 13 6 22 23 3 4 19 12 28 29 8 9 25 18 34 35 14 15 31 24 40 41 20 21 37 30 46 47 26 27 43 36 52 53 32 33 49 42 58 59 38 39 55 48 64 65 44 45 61 54 70 71 50 51 67 60 75 76 56 57 73 66 78 5 62 63 72 10 68 2 
78 8 72 10 13 14 76 2 16 4 19 20 5 6 22 9 25 26 11 12 28 15 31 32 17 18 34 21 37 38 23 24 40 27 43 44 29 30 46 33 49 50 35 36 52 39 55 56 41 42 58 45 61 62 47 48 64 51 67 68 53 54 70 57 73 74 59 60 75 63 77 3 65 66 69 7 71 1 
