100 7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
26 22 16 42 43 33 37 38 29 30 60 61 62 51 52 1 56 57 46 47 48 6 76 77 78 3 69 70 4 5 73 74 2 65 66 67 14 15 88 89 90 9 10 83 84 11 12 13 86 87 7 8 80 81 82 27 28 96 97 19 20 21 93 94 23 24 25 95 17 18 91 92 44 45 100 34 35 36 99 39 40 41 31 32 98 63 64 53 54 55 58 59 49 50 79 71 72 75 68 85 
27 95 17 43 44 99 41 37 30 31 61 62 63 55 51 59 1 56 47 48 49 76 77 78 79 72 3 69 75 4 5 73 65 66 67 68 15 88 89 90 14 85 9 10 83 87 11 12 13 86 8 80 81 82 7 28 96 97 26 94 19 20 21 93 22 23 24 25 18 91 92 16 45 100 42 33 34 35 36 38 39 40 32 98 29 64 60 52 53 54 57 58 50 46 6 70 71 74 2 84 
28 25 18 44 45 36 40 41 31 32 62 63 64 54 55 58 59 1 48 49 50 77 78 79 6 71 72 3 74 75 4 5 66 67 68 2 88 89 90 14 15 84 85 9 10 86 87 11 12 13 80 81 82 7 8 96 97 26 27 93 94 19 20 21 95 22 23 24 91 92 16 17 100 42 43 99 33 34 35 37 38 39 98 29 30 60 61 51 52 53 56 57 46 47 76 69 70 73 65 83 
29 19 42 46 47 11 33 34 60 61 2 65 66 22 23 51 52 53 6 76 77 7 8 80 81 37 38 39 3 69 70 71 14 15 88 89 16 17 18 91 92 1 56 57 58 9 10 83 84 85 26 27 28 96 97 30 31 32 98 4 5 73 74 75 20 21 93 94 43 44 45 100 48 49 50 12 13 86 87 35 36 99 62 63 64 67 68 24 25 95 54 55 78 79 82 40 41 72 90 59 
30 94 43 47 48 87 99 33 61 62 65 66 67 95 22 55 51 52 76 77 78 8 80 81 82 41 37 38 72 3 69 70 15 88 89 90 17 18 91 92 16 59 1 56 57 85 9 10 83 84 27 28 96 97 26 31 32 98 29 75 4 5 73 74 19 20 21 93 44 45 100 42 49 50 46 11 12 13 86 34 35 36 63 64 60 68 2 23 24 25 53 54 79 6 7 39 40 71 14 58 
31 93 44 48 49 86 36 99 62 63 66 67 68 25 95 54 55 51 77 78 79 80 81 82 7 40 41 37 71 72 3 69 88 89 90 14 18 91 92 16 17 58 59 1 56 84 85 9 10 83 28 96 97 26 27 32 98 29 30 74 75 4 5 73 94 19 20 21 45 100 42 43 50 46 47 87 11 12 13 33 34 35 64 60 61 2 65 22 23 24 52 53 6 76 8 38 39 70 15 57 
32 21 45 49 50 13 35 36 63 64 67 68 2 24 25 53 54 55 78 79 6 81 82 7 8 39 40 41 70 71 72 3 89 90 14 15 91 92 16 17 18 57 58 59 1 83 84 85 9 10 96 97 26 27 28 98 29 30 31 73 74 75 4 5 93 94 19 20 100 42 43 44 46 47 48 86 87 11 12 99 33 34 60 61 62 65 66 95 22 23 51 52 76 77 80 37 38 69 88 56 
33 26 22 51 52 16 42 43 37 38 3 69 70 29 30 60 61 62 1 56 57 9 10 83 84 46 47 48 6 76 77 78 4 5 73 74 19 20 21 93 94 2 65 66 67 14 15 88 89 90 11 12 13 86 87 34 35 36 99 7 8 80 81 82 27 28 96 97 23 24 25 95 53 54 55 17 18 91 92 44 45 100 39 40 41 71 72 31 32 98 63 64 58 59 85 49 50 79 75 68 
34 97 23 52 53 92 100 42 38 39 69 70 71 98 29 64 60 61 56 57 58 10 83 84 85 50 46 47 79 6 76 77 5 73 74 75 20 21 93 94 19 68 2 65 66 90 14 15 88 89 12 13 86 87 11 35 36 99 33 82 7 8 80 81 26 27 28 96 24 25 95 22 54 55 51 16 17 18 91 43 44 45 40 41 37 72 3 30 31 32 62 63 59 1 9 48 49 78 4 67 
35 96 24 53 54 91 45 100 39 40 70 71 72 32 98 63 64 60 57 58 59 83 84 85 9 49 50 46 78 79 6 76 73 74 75 4 21 93 94 19 20 67 68 2 65 89 90 14 15 88 13 86 87 11 12 36 99 33 34 81 82 7 8 80 97 26 27 28 25 95 22 23 55 51 52 92 16 17 18 42 43 44 41 37 38 3 69 29 30 31 61 62 1 56 10 47 48 77 5 66 
36 28 25 54 55 18 44 45 40 41 71 72 3 31 32 62 63 64 58 59 1 84 85 9 10 48 49 50 77 78 79 6 74 75 4 5 93 94 19 20 21 66 67 68 2 88 89 90 14 15 86 87 11 12 13 99 33 34 35 80 81 82 7 8 96 97 26 27 95 22 23 24 51 52 53 91 92 16 17 100 42 43 37 38 39 69 70 98 29 30 60 61 56 57 83 46 47 76 73 65 
37 7 51 1 56 14 16 17 3 69 4 5 73 26 27 29 30 31 9 10 83 11 12 13 86 42 43 44 46 47 48 49 19 20 21 93 22 23 24 25 95 60 61 62 63 2 65 66 67 68 33 34 35 36 99 38 39 40 41 6 76 77 78 79 8 80 81 82 52 53 54 55 57 58 59 15 88 89 90 18 91 92 70 71 72 74 75 28 96 97 32 98 84 85 87 45 100 50 94 64 
38 82 52 56 57 90 92 16 69 70 5 73 74 97 26 98 29 30 10 83 84 12 13 86 87 100 42 43 50 46 47 48 20 21 93 94 23 24 25 95 22 64 60 61 62 68 2 65 66 67 34 35 36 99 33 39 40 41 37 79 6 76 77 78 7 8 80 81 53 54 55 51 58 59 1 14 15 88 89 17 18 91 71 72 3 75 4 27 28 96 31 32 85 9 11 44 45 49 19 63 
39 81 53 57 58 89 91 92 70 71 73 74 75 96 97 32 98 29 83 84 85 13 86 87 11 45 100 42 49 50 46 47 21 93 94 19 24 25 95 22 23 63 64 60 61 67 68 2 65 66 35 36 99 33 34 40 41 37 38 78 79 6 76 77 82 7 8 80 54 55 51 52 59 1 56 90 14 15 88 16 17 18 72 3 69 4 5 26 27 28 30 31 9 10 12 43 44 48 20 62 
40 80 54 58 59 88 18 91 71 72 74 75 4 28 96 31 32 98 84 85 9 86 87 11 12 44 45 100 48 49 50 46 93 94 19 20 25 95 22 23 24 62 63 64 60 66 67 68 2 65 36 99 33 34 35 41 37 38 39 77 78 79 6 76 81 82 7 8 55 51 52 53 1 56 57 89 90 14 15 92 16 17 3 69 70 5 73 97 26 27 29 30 10 83 13 42 43 47 21 61 
