88 11
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
29 81 23 22 37 75 74 87 16 31 30 45 68 83 82 9 24 39 38 53 76 4 3 17 32 47 46 61 1 11 10 25 40 55 54 69 5 19 18 33 48 63 62 77 12 27 26 41 56 71 70 84 20 35 34 49 64 79 78 88 28 43 42 57 72 86 85 13 36 51 50 65 80 7 6 21 44 59 58 73 2 15 14 52 67 66 8 60 
30 66 24 37 38 60 73 74 31 32 45 46 67 68 81 82 39 40 53 54 75 76 87 3 47 48 61 62 83 1 9 10 55 56 69 70 4 5 17 18 63 64 77 78 11 12 25 26 71 72 84 85 19 20 33 34 79 80 88 6 27 28 41 42 86 2 13 14 35 36 49 50 7 8 21 22 43 44 57 58 15 16 29 51 52 65 23 59 
31 67 37 24 39 73 60 75 30 45 32 47 66 81 68 83 38 53 40 55 74 87 76 4 46 61 48 63 82 9 1 11 54 69 56 71 3 17 5 19 62 77 64 79 10 25 12 27 70 84 72 86 18 33 20 35 78 88 80 7 26 41 28 43 85 13 2 15 34 49 36 51 6 21 8 23 42 57 44 59 14 29 16 50 65 52 22 58 
32 52 38 39 40 58 59 60 45 46 47 48 65 66 67 68 53 54 55 56 73 74 75 76 61 62 63 64 81 82 83 1 69 70 71 72 87 3 4 5 77 78 79 80 9 10 11 12 84 85 86 2 17 18 19 20 88 6 7 8 25 26 27 28 13 14 15 16 33 34 35 36 21 22 23 24 41 42 43 44 29 30 31 49 50 51 37 57 
33 77 27 26 41 71 70 84 20 35 34 49 64 79 78 88 28 43 42 57 72 86 85 13 36 51 50 65 80 7 6 21 44 59 58 73 2 15 14 29 52 67 66 81 8 23 22 37 60 75 74 87 16 31 30 45 68 83 82 9 24 39 38 53 76 4 3 17 32 47 46 61 1 11 10 25 40 55 54 69 5 19 18 48 63 62 12 56 
34 62 28 41 42 56 69 70 35 36 49 50 63 64 77 78 43 44 57 58 71 72 84 85 51 52 65 66 79 80 88 6 59 60 73 74 86 2 13 14 67 68 81 82 7 8 21 22 75 76 87 3 15 16 29 30 83 1 9 10 23 24 37 38 4 5 17 18 31 32 45 46 11 12 25 26 39 40 53 54 19 20 33 47 48 61 27 55 
35 63 41 28 43 69 56 71 34 49 36 51 62 77 64 79 42 57 44 59 70 84 72 86 50 65 52 67 78 88 80 7 58 73 60 75 85 13 2 15 66 81 68 83 6 21 8 23 74 87 76 4 14 29 16 31 82 9 1 11 22 37 24 39 3 17 5 19 30 45 32 47 10 25 12 27 38 53 40 55 18 33 20 46 61 48 26 54 
36 48 42 43 44 54 55 56 49 50 51 52 61 62 63 64 57 58 59 60 69 70 71 72 65 66 67 68 77 78 79 80 73 74 75 76 84 85 86 2 81 82 83 1 88 6 7 8 87 3 4 5 13 14 15 16 9 10 11 12 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 37 38 39 40 33 34 35 45 46 47 41 53 
37 73 31 30 45 67 66 81 24 39 38 53 60 75 74 87 32 47 46 61 68 83 82 9 40 55 54 69 76 4 3 17 48 63 62 77 1 11 10 25 56 71 70 84 5 19 18 33 64 79 78 88 12 27 26 41 72 86 85 13 20 35 34 49 80 7 6 21 28 43 42 57 2 15 14 29 36 51 50 65 8 23 22 44 59 58 16 52 
38 58 32 45 46 52 65 66 39 40 53 54 59 60 73 74 47 48 61 62 67 68 81 82 55 56 69 70 75 76 87 3 63 64 77 78 83 1 9 10 71 72 84 85 4 5 17 18 79 80 88 6 11 12 25 26 86 2 13 14 19 20 33 34 7 8 21 22 27 28 41 42 15 16 29 30 35 36 49 50 23 24 37 43 44 57 31 51 
