56 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 
39 44 47 48 29 51 25 34 53 54 37 38 55 33 42 35 8 56 45 46 12 41 49 43 15 16 2 52 20 1 4 50 23 24 6 7 28 3 10 5 31 32 13 14 36 9 18 11 40 21 22 17 26 19 30 27 
40 17 48 21 30 25 26 27 54 29 38 31 33 34 35 36 56 37 46 39 41 42 43 44 16 45 52 47 1 49 50 51 24 2 7 53 3 4 5 55 32 6 14 8 9 10 11 12 13 22 15 18 19 20 23 28 
41 45 1 49 50 2 52 53 3 4 5 55 6 7 8 56 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 42 43 44 46 47 48 51 54 
42 46 49 43 51 52 47 54 4 50 55 33 7 53 56 37 10 5 12 41 14 8 16 45 18 11 20 1 22 15 24 2 26 19 28 3 30 23 32 6 34 27 36 9 38 31 40 13 35 44 17 39 48 21 25 29 
43 47 50 51 33 53 54 37 5 55 41 42 8 56 45 46 11 12 1 49 15 16 2 52 19 20 3 4 23 24 6 7 27 28 9 10 31 32 13 14 35 36 17 18 39 40 21 22 44 25 26 48 29 30 34 38 
44 48 51 25 34 54 29 38 55 33 42 35 56 37 46 39 12 41 49 43 16 45 52 47 20 1 4 50 24 2 7 53 28 3 10 5 32 6 14 8 36 9 18 11 40 13 22 15 17 26 19 21 30 23 27 31 
45 49 2 52 53 4 50 55 6 7 8 56 10 5 12 41 13 14 15 16 18 11 20 1 21 22 23 24 26 19 28 3 29 30 31 32 34 27 36 9 37 38 39 40 42 35 44 17 46 47 48 43 51 25 54 33 
46 43 52 47 54 50 51 33 7 53 56 37 5 55 41 42 14 8 16 45 11 12 1 49 22 15 24 2 19 20 3 4 30 23 32 6 27 28 9 10 38 31 40 13 35 36 17 18 39 48 21 44 25 26 29 34 
47 51 53 54 37 55 33 42 8 56 45 46 12 41 49 43 15 16 2 52 20 1 4 50 23 24 6 7 28 3 10 5 31 32 13 14 36 9 18 11 39 40 21 22 44 17 26 19 48 29 30 25 34 27 38 35 
48 25 54 29 38 33 34 35 56 37 46 39 41 42 43 44 16 45 52 47 1 49 50 51 24 2 7 53 3 4 5 55 32 6 14 8 9 10 11 12 40 13 22 15 17 18 19 20 21 30 23 26 27 28 31 36 
49 52 4 50 55 7 53 56 10 5 12 41 14 8 16 45 18 11 20 1 22 15 24 2 26 19 28 3 30 23 32 6 34 27 36 9 38 31 40 13 42 35 44 17 46 39 48 21 43 51 25 47 54 29 33 37 
50 53 5 55 41 8 56 45 11 12 1 49 15 16 2 52 19 20 3 4 23 24 6 7 27 28 9 10 31 32 13 14 35 36 17 18 39 40 21 22 43 44 25 26 47 48 29 30 51 33 34 54 37 38 42 46 
51 54 55 33 42 56 37 46 12 41 49 43 16 45 52 47 20 1 4 50 24 2 7 53 28 3 10 5 32 6 14 8 36 9 18 11 40 13 22 15 44 17 26 19 48 21 30 23 25 34 27 29 38 31 35 39 
52 50 7 53 56 5 55 41 14 8 16 45 11 12 1 49 22 15 24 2 19 20 3 4 30 23 32 6 27 28 9 10 38 31 40 13 35 36 17 18 46 39 48 21 43 44 25 26 47 54 29 51 33 34 37 42 
53 55 8 56 45 12 41 49 15 16 2 52 20 1 4 50 23 24 6 7 28 3 10 5 31 32 13 14 36 9 18 11 39 40 21 22 44 17 26 19 47 48 29 30 51 25 34 27 54 37 38 33 42 35 46 43 
54 33 56 37 46 41 42 43 16 45 52 47 1 49 50 51 24 2 7 53 3 4 5 55 32 6 14 8 9 10 11 12 40 13 22 15 17 18 19 20 48 21 30 23 25 26 27 28 29 38 31 34 35 36 39 44 
55 56 12 41 49 16 45 52 20 1 4 50 24 2 7 53 28 3 10 5 32 6 14 8 36 9 18 11 40 13 22 15 44 17 26 19 48 21 30 23 51 25 34 27 54 29 38 31 33 42 35 37 46 39 43 47 
56 41 16 45 52 1 49 50 24 2 7 53 3 4 5 55 32 6 14 8 9 10 11 12 40 13 22 15 17 18 19 20 48 21 30 23 25 26 27 28 54 29 38 31 33 34 35 36 37 46 39 42 43 44 47 51 
