105 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 
26 35 39 40 19 49 50 53 54 55 30 31 63 64 65 67 68 69 70 43 44 45 76 77 78 79 80 81 82 83 2 57 58 59 60 87 88 89 90 5 91 92 93 6 7 71 72 73 74 1 96 97 98 11 12 99 100 13 14 15 84 85 86 3 4 102 103 20 21 22 104 23 24 25 94 95 8 9 10 105 32 33 34 36 37 38 101 16 17 18 46 47 48 51 52 27 28 29 61 62 66 41 42 75 56 
27 36 1 41 46 2 51 3 4 56 5 61 6 7 66 8 9 10 71 11 12 75 13 14 15 80 16 17 18 19 84 20 21 22 87 23 24 25 26 91 28 29 30 31 94 32 33 34 35 96 37 38 39 40 99 42 43 44 45 101 47 48 49 50 102 52 53 54 55 104 57 58 59 60 62 63 64 65 105 67 68 69 70 72 73 74 76 77 78 79 81 82 83 85 86 88 89 90 92 93 95 97 98 100 103 
28 37 41 42 47 51 52 4 56 57 61 62 7 66 67 9 10 71 72 12 75 76 14 15 80 81 17 18 19 84 85 21 22 87 88 24 25 26 91 92 29 30 31 94 95 33 34 35 96 97 38 39 40 99 100 43 44 45 101 16 48 49 50 102 103 53 54 55 104 23 58 59 60 27 63 64 65 105 32 68 69 70 36 73 74 1 77 78 79 46 82 83 2 86 3 89 90 5 93 6 8 98 11 13 20 
29 38 42 43 48 52 53 56 57 58 62 63 66 67 68 10 71 72 73 75 76 77 15 80 81 82 18 19 84 85 86 22 87 88 89 25 26 91 92 93 30 31 94 95 8 34 35 96 97 98 39 40 99 100 13 44 45 101 16 17 49 50 102 103 20 54 55 104 23 24 59 60 27 28 64 65 105 32 33 69 70 36 37 74 1 41 78 79 46 47 83 2 51 3 4 90 5 61 6 7 9 11 12 14 21 
30 39 43 44 49 53 54 57 58 59 63 64 67 68 69 71 72 73 74 76 77 78 80 81 82 83 19 84 85 86 3 87 88 89 90 26 91 92 93 6 31 94 95 8 9 35 96 97 98 11 40 99 100 13 14 45 101 16 17 18 50 102 103 20 21 55 104 23 24 25 60 27 28 29 65 105 32 33 34 70 36 37 38 1 41 42 79 46 47 48 2 51 52 4 56 5 61 62 7 66 10 12 75 15 22 
31 40 44 45 50 54 55 58 59 60 64 65 68 69 70 72 73 74 1 77 78 79 81 82 83 2 84 85 86 3 4 88 89 90 5 91 92 93 6 7 94 95 8 9 10 96 97 98 11 12 99 100 13 14 15 101 16 17 18 19 102 103 20 21 22 104 23 24 25 26 27 28 29 30 105 32 33 34 35 36 37 38 39 41 42 43 46 47 48 49 51 52 53 56 57 61 62 63 66 67 71 75 76 80 87 
32 16 46 47 23 27 28 5 61 62 36 37 1 41 42 11 12 75 76 2 51 52 3 4 56 57 20 21 22 87 88 6 7 66 67 8 9 10 71 72 33 34 35 96 97 13 14 15 80 81 17 18 19 84 85 48 49 50 102 103 24 25 26 91 92 29 30 31 94 95 63 64 65 105 38 39 40 99 100 43 44 45 101 77 78 79 53 54 55 104 58 59 60 89 90 68 69 70 73 74 98 82 83 86 93 
33 17 47 48 24 28 29 61 62 63 37 38 41 42 43 12 75 76 77 51 52 53 4 56 57 58 21 22 87 88 89 7 66 67 68 9 10 71 72 73 34 35 96 97 98 14 15 80 81 82 18 19 84 85 86 49 50 102 103 20 25 26 91 92 93 30 31 94 95 8 64 65 105 32 39 40 99 100 13 44 45 101 16 78 79 46 54 55 104 23 59 60 27 90 5 69 70 36 74 1 11 83 2 3 6 
34 18 48 49 25 29 30 62 63 64 38 39 42 43 44 75 76 77 78 52 53 54 56 57 58 59 22 87 88 89 90 66 67 68 69 10 71 72 73 74 35 96 97 98 11 15 80 81 82 83 19 84 85 86 3 50 102 103 20 21 26 91 92 93 6 31 94 95 8 9 65 105 32 33 40 99 100 13 14 45 101 16 17 79 46 47 55 104 23 24 60 27 28 5 61 70 36 37 1 41 12 2 51 4 7 
35 19 49 50 26 30 31 63 64 65 39 40 43 44 45 76 77 78 79 53 54 55 57 58 59 60 87 88 89 90 5 67 68 69 70 71 72 73 74 1 96 97 98 11 12 80 81 82 83 2 84 85 86 3 4 102 103 20 21 22 91 92 93 6 7 94 95 8 9 10 105 32 33 34 99 100 13 14 15 101 16 17 18 46 47 48 104 23 24 25 27 28 29 61 62 36 37 38 41 42 75 51 52 56 66 
36 46 2 51 27 5 61 6 7 66 1 41 11 12 75 13 14 15 80 3 4 56 20 21 22 87 23 24 25 26 91 8 9 10 71 32 33 34 35 96 37 38 39 40 99 16 17 18 19 84 47 48 49 50 102 52 53 54 55 104 28 29 30 31 94 62 63 64 65 105 67 68 69 70 42 43 44 45 101 76 77 78 79 81 82 83 57 58 59 60 88 89 90 92 93 72 73 74 97 98 100 85 86 103 95 
37 47 51 52 28 61 62 7 66 67 41 42 12 75 76 14 15 80 81 4 56 57 21 22 87 88 24 25 26 91 92 9 10 71 72 33 34 35 96 97 38 39 40 99 100 17 18 19 84 85 48 49 50 102 103 53 54 55 104 23 29 30 31 94 95 63 64 65 105 32 68 69 70 36 43 44 45 101 16 77 78 79 46 82 83 2 58 59 60 27 89 90 5 93 6 73 74 1 98 11 13 86 3 20 8 
38 48 52 53 29 62 63 66 67 68 42 43 75 76 77 15 80 81 82 56 57 58 22 87 88 89 25 26 91 92 93 10 71 72 73 34 35 96 97 98 39 40 99 100 13 18 19 84 85 86 49 50 102 103 20 54 55 104 23 24 30 31 94 95 8 64 65 105 32 33 69 70 36 37 44 45 101 16 17 78 79 46 47 83 2 51 59 60 27 28 90 5 61 6 7 74 1 41 11 12 14 3 4 21 9 
39 49 53 54 30 63 64 67 68 69 43 44 76 77 78 80 81 82 83 57 58 59 87 88 89 90 26 91 92 93 6 71 72 73 74 35 96 97 98 11 40 99 100 13 14 19 84 85 86 3 50 102 103 20 21 55 104 23 24 25 31 94 95 8 9 65 105 32 33 34 70 36 37 38 45 101 16 17 18 79 46 47 48 2 51 52 60 27 28 29 5 61 62 7 66 1 41 42 12 75 15 4 56 22 10 
40 50 54 55 31 64 65 68 69 70 44 45 77 78 79 81 82 83 2 58 59 60 88 89 90 5 91 92 93 6 7 72 73 74 1 96 97 98 11 12 99 100 13 14 15 84 85 86 3 4 102 103 20 21 22 104 23 24 25 26 94 95 8 9 10 105 32 33 34 35 36 37 38 39 101 16 17 18 19 46 47 48 49 51 52 53 27 28 29 30 61 62 63 66 67 41 42 43 75 76 80 56 57 87 71 
41 51 4 56 61 7 66 9 10 71 12 75 14 15 80 17 18 19 84 21 22 87 24 25 26 91 28 29 30 31 94 33 34 35 96 37 38 39 40 99 42 43 44 45 101 47 48 49 50 102 52 53 54 55 104 57 58 59 60 27 62 63 64 65 105 67 68 69 70 36 72 73 74 1 76 77 78 79 46 81 82 83 2 85 86 3 88 89 90 5 92 93 6 95 8 97 98 11 100 13 16 103 20 23 32 
42 52 56 57 62 66 67 10 71 72 75 76 15 80 81 18 19 84 85 22 87 88 25 26 91 92 29 30 31 94 95 34 35 96 97 38 39 40 99 100 43 44 45 101 16 48 49 50 102 103 53 54 55 104 23 58 59 60 27 28 63 64 65 105 32 68 69 70 36 37 73 74 1 41 77 78 79 46 47 82 83 2 51 86 3 4 89 90 5 61 93 6 7 8 9 98 11 12 13 14 17 20 21 24 33 
43 53 57 58 63 67 68 71 72 73 76 77 80 81 82 19 84 85 86 87 88 89 26 91 92 93 30 31 94 95 8 35 96 97 98 39 40 99 100 13 44 45 101 16 17 49 50 102 103 20 54 55 104 23 24 59 60 27 28 29 64 65 105 32 33 69 70 36 37 38 74 1 41 42 78 79 46 47 48 83 2 51 52 3 4 56 90 5 61 62 6 7 66 9 10 11 12 75 14 15 18 21 22 25 34 
44 54 58 59 64 68 69 72 73 74 77 78 81 82 83 84 85 86 3 88 89 90 91 92 93 6 31 94 95 8 9 96 97 98 11 40 99 100 13 14 45 101 16 17 18 50 102 103 20 21 55 104 23 24 25 60 27 28 29 30 65 105 32 33 34 70 36 37 38 39 1 41 42 43 79 46 47 48 49 2 51 52 53 4 56 57 5 61 62 63 7 66 67 10 71 12 75 76 15 80 19 22 87 26 35 
