96 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 
38 52 7 65 67 68 13 12 76 78 79 24 17 20 22 23 1 86 87 35 88 36 37 28 31 33 34 2 91 92 49 93 50 51 41 43 44 3 46 47 4 48 5 6 95 63 64 66 55 57 58 8 60 61 9 62 10 11 96 74 75 77 70 71 14 72 15 16 73 18 19 21 85 81 82 25 83 26 27 84 29 30 32 90 89 39 40 42 45 94 53 54 56 59 69 80 
39 53 63 16 40 69 70 74 27 54 80 81 18 37 64 85 86 42 17 44 41 71 89 29 51 75 90 91 56 28 58 55 82 94 6 19 45 46 66 38 68 65 87 95 43 72 3 14 11 30 59 60 77 52 79 76 92 96 57 83 8 25 21 7 23 20 47 73 67 88 13 35 15 32 12 34 31 61 84 78 93 24 49 26 22 48 1 4 36 33 62 2 9 50 5 10 
40 54 64 42 69 41 71 75 56 80 55 82 19 66 85 65 87 17 43 72 70 89 14 30 77 90 76 92 28 57 83 81 94 25 21 45 20 47 38 67 88 86 95 35 44 3 15 39 32 59 31 61 52 78 93 91 96 49 58 8 26 53 7 22 48 46 73 4 68 13 36 63 16 12 33 62 60 84 9 79 24 50 74 27 23 1 5 18 37 34 2 10 29 51 6 11 
41 55 65 43 70 71 14 76 57 81 82 25 20 67 86 87 35 44 72 15 89 39 40 31 78 91 92 49 58 83 26 94 53 54 22 46 47 4 68 88 36 95 63 64 3 16 42 69 33 60 61 9 79 93 50 96 74 75 8 27 56 80 23 48 5 73 18 19 13 37 66 85 17 34 62 10 84 29 30 24 51 77 90 28 1 6 21 45 38 2 11 32 59 52 7 12 
42 56 66 69 17 43 72 77 80 28 57 83 21 85 38 67 88 41 70 89 44 3 15 32 90 52 78 93 55 81 94 58 8 26 45 7 22 48 65 86 95 68 13 36 71 14 39 16 59 12 33 62 76 91 96 79 24 50 82 25 53 27 20 46 73 23 1 5 87 35 63 37 40 31 60 84 34 2 10 92 49 74 51 54 47 4 18 6 64 61 9 29 11 75 19 30 
43 57 67 70 44 72 15 78 81 58 83 26 22 86 68 88 36 71 89 39 3 16 42 33 91 79 93 50 82 94 53 8 27 56 46 23 48 5 87 95 63 13 37 66 14 40 69 17 60 34 62 10 92 96 74 24 51 77 25 54 80 28 47 73 18 1 6 21 35 64 85 38 41 61 84 29 2 11 32 49 75 90 52 55 4 19 45 7 65 9 30 59 12 76 20 31 
44 58 68 71 72 3 16 79 82 83 8 27 23 87 88 13 37 89 14 40 15 42 17 34 92 93 24 51 94 25 54 26 56 28 47 48 1 6 95 35 64 36 66 38 39 69 41 43 61 62 2 11 96 49 75 50 77 52 53 80 55 57 73 4 19 5 21 7 63 85 65 67 70 84 9 30 10 32 12 74 90 76 78 81 18 45 20 22 86 29 59 31 33 91 46 60 
45 59 69 7 20 46 73 80 12 31 60 84 85 17 41 70 89 22 23 1 47 4 18 90 28 55 81 94 33 34 2 61 9 29 38 65 86 95 43 44 3 71 14 39 48 5 6 19 52 76 91 96 57 58 8 82 25 53 62 10 11 30 67 68 13 87 35 63 72 15 16 40 21 78 79 24 92 49 74 83 26 27 54 32 88 36 37 64 42 93 50 51 75 56 66 77 
46 60 70 23 47 73 18 81 34 61 84 29 86 44 71 89 39 48 1 6 4 19 45 91 58 82 94 53 62 2 11 9 30 59 68 87 95 63 72 3 16 14 40 69 5 21 7 20 79 92 96 74 83 8 27 25 54 80 10 32 12 31 88 13 37 35 64 85 15 42 17 41 22 93 24 51 49 75 90 26 56 28 55 33 36 66 38 65 43 50 77 52 76 57 67 78 
47 61 71 48 73 4 19 82 62 84 9 30 87 72 89 14 40 1 5 21 18 45 20 92 83 94 25 54 2 10 32 29 59 31 88 95 35 64 3 15 42 39 69 41 6 7 22 46 93 96 49 75 8 26 56 53 80 55 11 12 33 60 13 36 66 63 85 65 16 17 43 70 23 24 50 77 74 90 76 27 28 57 81 34 37 38 67 86 44 51 52 78 91 58 68 79 
48 62 72 73 1 5 21 83 84 2 10 32 88 89 3 15 42 4 18 45 6 7 22 93 94 8 26 56 9 29 59 11 12 33 95 13 36 66 14 39 69 16 17 43 19 20 46 23 96 24 50 77 25 53 80 27 28 57 30 31 60 34 35 63 85 37 38 67 40 41 70 44 47 49 74 90 51 52 78 54 55 81 58 61 64 65 86 68 71 75 76 91 79 82 87 92 
49 36 9 50 74 75 76 5 63 37 66 67 25 10 29 30 31 51 77 78 90 91 92 15 18 6 21 22 64 85 86 38 68 88 26 53 54 55 11 32 33 59 60 61 52 79 93 96 39 16 42 43 19 45 46 7 23 48 65 87 95 13 27 56 57 80 81 82 12 34 62 84 24 40 69 70 17 44 72 20 47 73 1 35 28 58 83 94 2 41 71 89 3 4 8 14 
50 63 10 74 51 77 78 18 37 64 85 86 26 29 11 32 33 75 90 91 52 79 93 39 6 19 45 46 66 38 68 65 87 95 53 27 56 57 30 59 60 12 34 62 76 92 96 24 16 40 69 70 21 7 23 20 47 73 67 88 13 35 54 80 81 28 58 83 31 61 84 2 49 42 17 44 41 71 89 22 48 1 4 36 55 82 94 8 9 43 72 3 14 5 25 15 
51 64 11 75 77 52 79 19 66 85 65 87 27 30 32 12 34 90 76 92 78 93 24 40 21 45 20 47 38 67 88 86 95 35 54 56 28 58 59 31 61 33 62 2 91 96 49 50 42 69 41 71 7 22 48 46 73 4 68 13 36 63 80 55 82 57 83 8 60 84 9 10 74 17 43 72 70 89 14 23 1 5 18 37 81 94 25 26 29 44 3 15 39 6 53 16 
52 65 12 76 78 79 24 20 67 86 87 35 28 31 33 34 2 91 92 49 93 50 51 41 22 46 47 4 68 88 36 95 63 64 55 57 58 8 60 61 9 62 10 11 96 74 75 77 43 70 71 14 23 48 5 73 18 19 13 37 66 85 81 82 25 83 26 27 84 29 30 32 90 44 72 15 89 39 40 1 6 21 45 38 94 53 54 56 59 3 16 42 69 7 80 17 
53 16 74 27 54 80 81 37 40 42 17 44 29 51 75 90 91 56 28 58 55 82 94 6 64 66 38 68 69 41 71 43 72 3 11 30 59 60 77 52 79 76 92 96 57 83 8 25 19 21 7 23 85 65 87 67 88 13 70 89 14 15 32 12 34 31 61 84 78 93 24 49 26 45 20 47 22 48 1 86 95 35 36 39 33 62 2 9 50 46 73 4 5 63 10 18 
54 42 75 56 80 55 82 66 69 17 43 72 30 77 90 76 92 28 57 83 81 94 25 21 85 38 67 88 41 70 89 44 3 15 32 59 31 61 52 78 93 91 96 49 58 8 26 53 45 7 22 48 65 86 95 68 13 36 71 14 39 16 12 33 62 60 84 9 79 24 50 74 27 20 46 73 23 1 5 87 35 63 37 40 34 2 10 29 51 47 4 18 6 64 11 19 
55 43 76 57 81 82 25 67 70 44 72 15 31 78 91 92 49 58 83 26 94 53 54 22 86 68 88 36 71 89 39 3 16 42 33 60 61 9 79 93 50 96 74 75 8 27 56 80 46 23 48 5 87 95 63 13 37 66 14 40 69 17 34 62 10 84 29 30 24 51 77 90 28 47 73 18 1 6 21 35 64 85 38 41 2 11 32 59 52 4 19 45 7 65 12 20 
56 69 77 80 28 57 83 85 17 41 70 89 32 90 52 78 93 55 81 94 58 8 26 45 38 65 86 95 43 44 3 71 14 39 59 12 33 62 76 91 96 79 24 50 82 25 53 27 7 20 46 73 67 68 13 87 35 63 72 15 16 40 31 60 84 34 2 10 92 49 74 51 54 22 23 1 47 4 18 88 36 37 64 42 61 9 29 11 75 48 5 6 19 66 30 21 
57 70 78 81 58 83 26 86 44 71 89 39 33 91 79 93 50 82 94 53 8 27 56 46 68 87 95 63 72 3 16 14 40 69 60 34 62 10 92 96 74 24 51 77 25 54 80 28 23 47 73 18 88 13 37 35 64 85 15 42 17 41 61 84 29 2 11 32 49 75 90 52 55 48 1 6 4 19 45 36 66 38 65 43 9 30 59 12 76 5 21 7 20 67 31 22 
58 71 79 82 83 8 27 87 72 89 14 40 34 92 93 24 51 94 25 54 26 56 28 47 88 95 35 64 3 15 42 39 69 41 61 62 2 11 96 49 75 50 77 52 53 80 55 57 48 73 4 19 13 36 66 63 85 65 16 17 43 70 84 9 30 10 32 12 74 90 76 78 81 1 5 21 18 45 20 37 38 67 86 44 29 59 31 33 91 6 7 22 46 68 60 23 
