64 226 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 
43 63 49 24 23 58 59 40 56 55 54 53 30 28 27 62 8 46 47 44 45 64 21 19 57 17 38 37 36 35 34 33 11 10 52 9 51 50 25 26 61 60 7 42 5 41 4 39 16 15 14 13 2 32 31 29 48 22 1 20 18 3 12 6 
44 35 28 25 58 23 60 19 16 54 55 13 11 49 9 51 46 8 48 43 64 45 7 40 41 4 37 38 3 63 33 34 30 2 32 27 62 29 24 61 26 59 21 22 1 57 17 18 56 14 15 53 10 52 12 50 47 42 5 6 39 36 31 20 
45 34 29 26 59 60 23 18 15 53 13 55 12 50 51 9 47 48 8 64 43 44 6 39 4 41 36 3 38 33 63 35 31 32 2 62 27 28 61 24 25 58 20 1 22 17 57 19 14 56 16 54 52 10 11 49 46 5 42 7 40 37 30 21 
46 14 10 58 25 24 61 20 33 3 36 37 27 2 30 31 44 43 64 8 48 47 39 6 5 42 13 53 54 15 16 56 9 49 50 11 12 52 23 60 59 26 18 17 57 1 22 21 34 35 63 38 28 29 62 32 45 4 41 40 7 55 51 19 
47 56 52 59 26 61 24 21 63 38 37 36 62 32 31 30 45 64 43 48 8 46 40 7 42 5 55 54 53 16 15 14 51 50 49 12 11 10 60 23 58 25 19 57 17 22 1 20 35 34 33 3 29 28 27 2 44 41 4 39 6 13 9 18 
48 16 32 60 61 26 25 7 35 37 38 3 51 52 12 11 64 45 44 47 46 8 19 21 22 1 54 55 13 56 14 15 62 29 28 31 30 2 59 58 23 24 40 41 4 42 5 6 63 33 34 36 50 49 9 10 43 57 17 18 20 53 27 39 
49 57 43 30 28 27 62 54 42 41 40 39 24 23 58 59 11 10 52 9 51 50 37 35 63 33 22 21 20 19 18 17 8 46 47 44 45 64 2 32 31 29 16 56 14 55 13 53 7 6 5 4 25 26 61 60 12 38 3 36 34 1 48 15 
50 17 64 31 29 62 27 53 5 4 39 40 61 60 59 58 12 52 10 51 9 49 36 34 33 63 1 20 21 18 19 57 48 47 46 45 44 43 32 2 30 28 15 14 56 13 55 54 6 7 42 41 26 25 24 23 11 3 38 37 35 22 8 16 
51 18 60 32 62 29 28 34 6 39 4 41 48 64 45 44 52 12 11 50 49 9 15 53 13 55 20 1 22 17 57 19 61 26 25 59 58 23 31 30 2 27 36 3 38 33 63 35 5 42 7 40 47 46 8 43 10 14 56 16 54 21 24 37 
52 42 47 62 32 31 30 37 57 22 21 20 59 26 61 24 51 50 49 12 11 10 54 16 56 14 41 40 39 7 6 5 45 64 43 48 8 46 29 28 27 2 35 63 33 38 3 36 19 18 17 1 60 23 58 25 9 55 13 53 15 4 44 34 
53 59 17 36 34 33 63 62 47 45 64 43 5 4 39 40 15 14 56 13 55 54 52 51 50 49 26 61 24 60 23 58 1 20 21 18 19 57 3 38 37 35 32 31 30 29 28 27 48 8 46 44 6 7 42 41 16 12 11 10 9 25 22 2 
54 58 57 37 35 63 33 27 46 44 43 64 42 41 40 39 16 56 14 55 13 53 10 9 49 50 25 24 61 23 60 59 22 21 20 19 18 17 38 3 36 34 2 30 31 28 29 62 8 48 47 45 7 6 5 4 15 11 12 52 51 26 1 32 
55 23 41 38 63 35 34 9 8 43 44 45 22 57 19 18 56 16 15 54 53 13 2 27 28 29 24 25 26 58 59 60 42 7 6 40 39 4 37 36 3 33 10 11 12 49 50 51 46 47 48 64 21 20 1 17 14 30 31 32 62 61 5 52 
56 47 21 63 38 37 36 52 59 26 61 24 40 7 42 5 55 54 53 16 15 14 62 32 31 30 45 64 43 48 8 46 19 57 17 22 1 20 35 34 33 3 51 50 49 12 11 10 60 23 58 25 41 4 39 6 13 29 28 27 2 44 18 9 
57 49 54 42 41 40 39 43 30 28 27 62 37 35 63 33 22 21 20 19 18 17 24 23 58 59 11 10 52 9 51 50 16 56 14 55 13 53 7 6 5 4 8 46 47 44 45 64 2 32 31 29 38 3 36 34 1 25 26 61 60 12 15 48 
58 54 27 46 44 43 64 57 37 35 63 33 10 9 49 50 25 24 61 23 60 59 42 41 40 39 16 56 14 55 13 53 2 30 31 28 29 62 8 48 47 45 22 21 20 19 18 17 38 3 36 34 11 12 52 51 26 7 6 5 4 15 32 1 
59 53 62 47 45 64 43 17 36 34 33 63 52 51 50 49 26 61 24 60 23 58 5 4 39 40 15 14 56 13 55 54 32 31 30 29 28 27 48 8 46 44 1 20 21 18 19 57 3 38 37 35 12 11 10 9 25 6 7 42 41 16 2 22 
60 13 51 48 64 45 44 4 3 33 34 35 32 62 29 28 61 26 25 59 58 23 1 17 18 19 14 15 16 53 54 55 52 12 11 50 49 9 47 46 8 43 5 6 7 39 40 41 36 37 38 63 31 30 2 27 24 20 21 22 57 56 10 42 
61 37 31 64 48 47 46 42 54 16 56 14 50 12 52 10 60 59 58 26 25 24 57 22 21 20 35 63 33 38 3 36 29 62 27 32 2 30 45 44 43 8 41 40 39 7 6 5 55 13 53 15 51 9 49 11 23 19 18 17 1 34 28 4 
62 39 59 52 51 50 49 33 20 18 17 57 47 45 64 43 32 31 30 29 28 27 14 13 53 54 6 5 42 4 41 40 26 61 24 60 23 58 12 11 10 9 3 36 37 34 35 63 1 22 21 19 48 8 46 44 2 15 16 56 55 7 25 38 
63 43 40 56 55 54 53 49 24 23 58 59 21 19 57 17 38 37 36 35 34 33 30 28 27 62 8 46 47 44 45 64 7 42 5 41 4 39 16 15 14 13 11 10 52 9 51 50 25 26 61 60 22 1 20 18 3 2 32 31 29 48 6 12 
64 33 50 61 60 59 58 39 14 13 53 54 31 29 62 27 48 47 46 45 44 43 20 18 17 57 3 36 37 34 35 63 12 52 10 51 9 49 26 25 24 23 6 5 42 4 41 40 15 16 56 55 32 2 30 28 8 1 22 21 19 38 11 7 
