Program started
Opened all dims file
PDS(81,40,19,20) SmGrp(81,4): 1 2 3 4 5 7 8 9 10 11 12 14 15 17 18 19 22 23 24 26 27 31 34 36 41 43 44 46 47 55 60 64 67 69 70 71 72 73 75 80 .Tri: 575
PDS(96,19,2,4) SmGrp(96,53): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,66): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,230): None in Tri: 46080
PDS(88,27,6,9) SmGrp(88,2): None in Tri: 38720
PDS(96,19,2,4) SmGrp(96,58): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,117): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,120): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,129): None in Tri: 46080
PDS(81,40,19,20) SmGrp(81,10): None in Tri: 32805
PDS(96,35,10,14) SmGrp(96,1): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,163): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,127): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,214): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,149): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,128): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,11): None in Tri: 50000
PDS(96,20,4,4) SmGrp(96,177): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,116): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,12): 7 11 25 26 27 30 38 45 55 56 57 58 66 73 91 94 95 96 .Tri: 1411
PDS(100,18,8,2) SmGrp(100,13): 1 3 5 6 10 11 15 21 26 28 36 38 45 61 73 88 94 99 .Tri: 36
PDS(100,18,8,2) SmGrp(100,14): 2 3 5 10 13 21 25 36 41 55 56 57 58 59 68 69 70 71 .Tri: 44
PDS(100,18,8,2) SmGrp(100,15): 3 7 10 15 21 23 27 36 37 43 48 61 65 74 76 85 87 97 .Tri: 192
PDS(100,18,8,2) SmGrp(100,16): 2 4 5 9 12 20 22 24 35 39 40 42 54 62 72 86 87 96 .Tri: 4
PDS(96,19,2,4) SmGrp(96,35): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,187): None in Tri: 46080
PDS(81,40,19,20) SmGrp(81,14): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,73): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,226): 2 5 7 8 14 16 20 39 41 52 54 58 66 72 74 79 85 86 91 .Tri: 125
PDS(81,40,19,20) SmGrp(81,8): None in Tri: 32805
PDS(96,20,4,4) SmGrp(96,132): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,132): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,189): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,190): 2 8 11 15 20 24 25 28 42 45 47 60 61 65 66 72 83 86 88 94 .Tri: 62
PDS(96,20,4,4) SmGrp(96,164): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,119): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,62): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,76): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,26): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,16): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,3): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,183): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,225): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,64): 1 2 5 7 12 14 17 30 34 37 41 43 45 53 56 61 79 83 86 .Tri: 27
PDS(96,19,2,4) SmGrp(96,44): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,3): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,189): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,190): 2 6 8 11 12 15 28 31 34 42 45 53 54 60 67 72 83 85 88 .Tri: 12
PDS(99,42,21,15) SmGrp(99,1): None in Tri: 49005
PDS(96,19,2,4) SmGrp(96,219): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,68): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,56): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,228): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,112): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,9): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,149): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,108): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,49): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,59): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,122): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,67): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,130): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,157): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,93): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,164): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,54): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,60): None in Tri: 46080
PDS(81,40,19,20) SmGrp(81,5): None in Tri: 32805
PDS(97,48,23,24) SmGrp(97,1): None in Tri: 47045
PDS(96,19,2,4) SmGrp(96,216): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,215): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,177): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,3): None in Tri: 50000
PDS(96,19,2,4) SmGrp(96,6): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,36): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,150): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,178): None in Tri: 46080
PDS(88,27,6,9) SmGrp(88,3): None in Tri: 38720
PDS(99,48,22,24) SmGrp(99,1): None in Tri: 49005
