Program started
Opened all dims file
PDS(36,14,7,4) SmGrp(36,3): None in Tri: 6480
PDS(40,12,2,4) SmGrp(40,5): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,3): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,2): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,4): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,7): None in Tri: 8000
PDS(40,12,2,4) SmGrp(40,9): None in Tri: 8000
PDS(49,12,5,2) SmGrp(49,1): None in Tri: 12005
PDS(49,12,5,2) SmGrp(49,2): 8 11 16 18 25 26 34 35 40 42 45 46 .Tri: 7
PDS(45,16,8,4) SmGrp(45,1): None in Tri: 10125
PDS(56,10,0,2) SmGrp(56,1): None in Tri: 15680
PDS(45,12,3,3) SmGrp(45,2): None in Tri: 10125
PDS(45,22,10,11) SmGrp(45,1): None in Tri: 10125
PDS(49,18,7,6) SmGrp(49,1): None in Tri: 12005
PDS(49,18,7,6) SmGrp(49,2): 7 11 18 19 23 26 28 29 30 31 32 33 34 37 39 40 45 47 .Tri: 26
PDS(50,21,8,9) SmGrp(50,1): None in Tri: 12500
PDS(56,10,0,2) SmGrp(56,12): None in Tri: 15680
PDS(45,16,8,4) SmGrp(45,2): None in Tri: 10125
PDS(56,10,0,2) SmGrp(56,5): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,7): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,4): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,11): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,13): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,9): None in Tri: 15680
PDS(49,24,11,12) SmGrp(49,1): None in Tri: 12005
PDS(56,10,0,2) SmGrp(56,10): None in Tri: 15680
PDS(49,24,11,12) SmGrp(49,2): 4 8 12 13 16 17 22 24 25 28 29 30 31 32 33 35 36 38 41 42 43 44 46 48 .Tri: 93
PDS(56,10,0,2) SmGrp(56,8): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,2): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,3): None in Tri: 15680
PDS(56,10,0,2) SmGrp(56,6): None in Tri: 15680
PDS(55,18,9,4) SmGrp(55,2): None in Tri: 15125
PDS(45,22,10,11) SmGrp(45,2): None in Tri: 10125
PDS(53,26,12,13) SmGrp(53,1): None in Tri: 14045
PDS(50,21,8,9) SmGrp(50,4): None in Tri: 12500
PDS(64,14,6,2) SmGrp(64,1): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,212): 4 5 7 11 12 15 21 24 31 32 37 41 54 62 .Tri: 3
PDS(64,14,6,2) SmGrp(64,203): 2 5 6 11 14 19 25 31 41 42 43 47 58 59 .Tri: 12
PDS(64,14,6,2) SmGrp(64,198): 2 3 6 12 15 16 18 21 24 25 34 56 57 58 .Tri: 6
PDS(64,14,6,2) SmGrp(64,179): 6 19 20 22 27 32 33 35 37 41 53 54 58 61 .Tri: 45
PDS(64,14,6,2) SmGrp(64,213): 1 5 6 11 17 20 27 40 41 42 44 50 57 59 .Tri: 48
PDS(64,14,6,2) SmGrp(64,214): 3 6 18 21 23 24 25 26 42 46 52 53 58 61 .Tri: 18
PDS(64,14,6,2) SmGrp(64,233): 3 4 5 6 7 16 17 19 25 26 32 38 49 53 .Tri: 59
PDS(64,14,6,2) SmGrp(64,164): 3 4 6 9 10 15 16 19 30 31 34 36 41 53 .Tri: 32
PDS(64,14,6,2) SmGrp(64,2): 1 3 5 7 8 10 16 17 21 27 42 47 56 63 .Tri: 35
PDS(64,14,6,2) SmGrp(64,246): 2 5 6 8 16 18 20 21 27 28 32 34 36 50 .Tri: 80
PDS(64,14,6,2) SmGrp(64,234): 3 5 14 15 20 21 33 34 40 41 42 44 57 59 .Tri: 29
PDS(64,14,6,2) SmGrp(64,205): 3 5 6 15 17 19 22 34 37 41 44 54 57 63 .Tri: 96
PDS(64,14,6,2) SmGrp(64,204): 2 5 6 11 14 16 17 19 25 31 39 40 41 47 .Tri: 53
PDS(64,14,6,2) SmGrp(64,182): 2 4 6 13 19 31 32 33 41 47 51 53 54 60 .Tri: 108
PDS(64,14,6,2) SmGrp(64,165): 6 9 10 12 13 15 16 18 19 20 30 31 41 53 .Tri: 25
PDS(64,14,6,2) SmGrp(64,206): 1 3 6 8 11 12 18 21 28 45 46 48 49 54 .Tri: 22
PDS(64,14,6,2) SmGrp(64,202): 12 13 16 19 20 21 37 40 41 42 43 44 62 63 .Tri: 74
PDS(64,14,6,2) SmGrp(64,235): 1 4 5 8 9 10 19 21 29 45 46 50 52 53 .Tri: 48
PDS(64,14,6,2) SmGrp(64,207): 4 5 18 19 21 27 28 39 40 45 46 52 53 56 .Tri: 30
PDS(64,14,6,2) SmGrp(64,250): 4 6 10 12 18 19 29 34 39 41 50 52 61 62 .Tri: 170
PDS(64,14,6,2) SmGrp(64,123): 1 3 5 10 14 15 16 21 26 33 34 38 40 48 .Tri: 180
PDS(64,14,6,2) SmGrp(64,194): 5 6 8 10 13 17 28 31 34 35 39 40 54 56 .Tri: 41
PDS(64,14,6,2) SmGrp(64,162): 2 3 6 12 19 20 26 27 36 39 41 49 50 53 .Tri: 155
PDS(64,14,6,2) SmGrp(64,3): 6 12 16 19 21 23 34 41 43 44 52 56 60 62 .Tri: 87
PDS(64,14,6,2) SmGrp(64,251): 3 5 6 14 20 21 26 33 39 48 49 55 61 62 .Tri: 59
PDS(64,14,6,2) SmGrp(64,4): 2 15 18 27 29 31 33 34 40 43 46 47 49 57 .Tri: 38
PDS(64,14,6,2) SmGrp(64,211): 4 6 17 21 26 29 40 41 43 44 49 51 57 58 .Tri: 107
PDS(64,14,6,2) SmGrp(64,261): 1 5 6 9 10 14 18 28 30 37 40 45 50 60 .Tri: 7
PDS(64,14,6,2) SmGrp(64,262): 6 16 17 18 19 20 21 27 32 45 50 53 56 60 .Tri: 3
PDS(64,14,6,2) SmGrp(64,254): 4 5 6 8 12 15 18 21 27 28 32 36 39 50 .Tri: 234
PDS(64,14,6,2) SmGrp(64,199): 2 6 15 16 19 21 24 25 35 41 55 56 57 58 .Tri: 181
PDS(64,14,6,2) SmGrp(64,247): 2 5 6 16 18 20 21 23 32 34 36 45 46 60 .Tri: 167
PDS(64,14,6,2) SmGrp(64,226): 1 6 11 12 14 15 16 17 18 21 26 39 49 54 .Tri: 427
PDS(64,14,6,2) SmGrp(64,195): 4 5 6 16 20 22 34 36 38 42 44 54 55 58 .Tri: 110
PDS(64,14,6,2) SmGrp(64,220): 3 4 5 6 10 16 17 19 31 38 42 52 58 62 .Tri: 209
PDS(64,14,6,2) SmGrp(64,156): 1 4 6 9 15 16 17 19 25 36 39 40 41 46 .Tri: 221
PDS(64,14,6,2) SmGrp(64,196): 3 6 9 18 19 20 21 23 24 25 26 30 49 60 .Tri: 30
PDS(64,14,6,2) SmGrp(64,221): 1 6 9 17 21 30 31 33 34 40 43 44 48 61 .Tri: 65
PDS(64,14,6,2) SmGrp(64,197): 2 4 5 6 10 14 20 28 29 31 44 50 51 59 .Tri: 33
PDS(64,14,6,2) SmGrp(64,224): 2 4 6 8 12 15 21 28 32 41 43 54 59 62 .Tri: 53
PDS(64,14,6,2) SmGrp(64,215): 4 5 10 11 19 21 25 26 38 39 46 47 60 61 .Tri: 562
PDS(64,14,6,2) SmGrp(64,157): 4 15 20 23 25 29 31 33 35 36 37 40 52 56 .Tri: 49
PDS(64,14,6,2) SmGrp(64,158): 6 7 14 19 20 22 29 31 41 44 46 55 57 63 .Tri: 8
PDS(64,14,6,2) SmGrp(64,216): 5 7 19 20 21 24 30 32 33 34 36 51 55 62 .Tri: 38
PDS(64,14,6,2) SmGrp(64,263): 5 6 14 20 32 37 38 41 42 44 53 56 57 59 .Tri: 144
PDS(64,14,6,2) SmGrp(64,264): 3 5 11 13 19 20 21 31 35 38 39 40 46 60 .Tri: 282
PDS(64,14,6,2) SmGrp(64,159): 2 6 17 19 20 22 33 36 41 44 56 57 62 63 .Tri: 496
PDS(64,14,6,2) SmGrp(64,225): 3 4 5 6 10 15 18 19 27 31 36 37 50 55 .Tri: 101
PDS(64,14,6,2) SmGrp(64,240): 4 5 7 19 21 22 23 24 35 36 45 48 49 59 .Tri: 164
PDS(64,14,6,2) SmGrp(64,227): 3 5 6 7 11 13 18 22 25 31 35 44 46 60 .Tri: 250
PDS(64,14,6,2) SmGrp(64,228): 2 3 5 6 12 14 17 19 26 27 33 41 49 50 .Tri: 17
PDS(64,14,6,2) SmGrp(64,107): 3 4 5 6 14 17 20 35 37 46 55 58 60 63 .Tri: 43
PDS(64,14,6,2) SmGrp(64,17): 1 4 6 9 11 17 18 20 21 30 32 35 36 62 .Tri: 134
PDS(64,14,6,2) SmGrp(64,45): 9 17 22 28 31 36 40 46 47 48 53 55 57 62 .Tri: 100
PDS(64,14,6,2) SmGrp(64,229): 1 3 4 5 6 8 11 18 19 28 34 53 54 62 .Tri: 33
PDS(64,14,6,2) SmGrp(64,5): 2 5 6 14 16 18 34 39 40 43 45 54 59 60 .Tri: 447
PDS(64,14,6,2) SmGrp(64,11): 5 8 16 20 21 24 25 27 41 49 56 57 58 61 .Tri: 267
PDS(64,14,6,2) SmGrp(64,236): 1 5 8 10 20 21 30 32 41 45 46 50 51 62 .Tri: 311
PDS(64,14,6,2) SmGrp(64,267): 2 3 4 12 14 15 21 29 35 36 41 45 48 57 .Tri: 4
PDS(64,14,6,2) SmGrp(64,46): 4 10 14 20 22 29 32 34 35 42 48 50 57 59 .Tri: 35
PDS(64,14,6,2) SmGrp(64,243): 5 10 11 21 22 26 32 36 43 48 55 57 58 62 .Tri: 32
PDS(64,14,6,2) SmGrp(64,18): 1 5 9 10 12 15 21 25 37 47 51 54 57 58 .Tri: 47
PDS(64,14,6,2) SmGrp(64,230): 5 6 9 15 17 30 32 37 39 40 48 52 56 61 .Tri: 108
PDS(64,14,6,2) SmGrp(64,231): 3 5 17 21 24 25 27 28 33 34 36 53 55 62 .Tri: 4
PDS(64,14,6,2) SmGrp(64,232): 4 5 8 19 21 44 45 46 50 52 53 58 59 63 .Tri: 40
PDS(50,21,8,9) SmGrp(50,3): None in Tri: 12500
PDS(64,14,6,2) SmGrp(64,237): 1 4 5 6 9 10 19 24 26 29 32 47 49 53 .Tri: 430
PDS(64,14,6,2) SmGrp(64,242): 3 5 6 12 17 25 34 35 38 44 47 55 56 59 .Tri: 110
PDS(64,14,6,2) SmGrp(64,173): 6 8 9 19 21 23 24 38 39 41 46 47 50 51 .Tri: 721
PDS(64,14,6,2) SmGrp(64,241): 3 6 14 19 20 21 27 37 38 39 40 43 50 59 .Tri: 358
PDS(64,14,6,2) SmGrp(64,238): 3 4 5 6 10 15 18 19 27 31 36 37 50 55 .Tri: 136
PDS(64,14,6,2) SmGrp(64,24): 4 5 6 18 20 27 32 36 40 48 50 52 55 61 .Tri: 336
PDS(64,14,6,2) SmGrp(64,239): 1 4 5 15 19 21 31 33 34 36 37 43 44 55 .Tri: 3
PDS(64,14,6,2) SmGrp(64,25): 4 7 12 20 27 29 31 32 46 48 52 54 59 63 .Tri: 72
PDS(64,14,6,2) SmGrp(64,6): 6 7 13 14 19 21 36 37 38 39 41 47 57 58 .Tri: 485
PDS(64,14,6,2) SmGrp(64,174): 5 10 11 18 21 23 26 38 39 40 45 58 61 63 .Tri: 335
PDS(64,14,6,2) SmGrp(64,7): 4 6 20 21 27 38 39 43 44 45 46 48 50 61 .Tri: 13
