Program started
Opened HIGHER dims file
PDS(154,72,26,40) SmGrp(154,3): None in Tri: 47432
PDS(160,54,18,18) SmGrp(160,200): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,70): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,237): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,32): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,228): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,28): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,38): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,212): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,197): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,193): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,207): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,48): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,113): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,18): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,34): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,116): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,226): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,33): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,216): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,236): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,134): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,223): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,227): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,35): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,69): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,114): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,66): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,117): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,96): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,204): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,238): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,101): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,186): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,171): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,88): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,104): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,233): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,49): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,107): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,106): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,15): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,67): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,99): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,13): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,10): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,80): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,229): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,206): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,100): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,5): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,7): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,234): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,109): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,198): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,83): None in Tri: 51200
PDS(154,72,26,40) SmGrp(154,4): None in Tri: 47432
PDS(160,54,18,18) SmGrp(160,39): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,14): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,6): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,95): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,29): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,98): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,86): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,93): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,85): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,12): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,94): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,31): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,11): None in Tri: 51200
